id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
323803,EC-0004,small_airport,"Nuevo Rocafuerte Airstrip",-0.927875,-75.394383,,SA,Ecuador,EC,"Orellana Province",EC-D,D,"Nuevo Rocafuerte",0,,,,,,,50,2017-06-12T09:55:37+00:00
512195,SEAD,small_airport,"Paandin Airport",-2.137235,-77.677402,2201,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Paandin,0,SEAD,,,,,,50,2023-11-02T16:47:00+00:00
323811,EC-0010,small_airport,"Pacayacu Airstrip",-1.650816,-77.596069,,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,Pacayacu,0,,,,,,,50,2017-06-12T12:25:42+00:00
518597,SEPK,small_airport,"Pakintza Airstrip",-2.32312,-77.276133,1070,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Pakintza,0,SEPK,,,,,Pakints,50,2024-01-07T12:35:28+00:00
512360,SEZA,small_airport,"Pampantza Airstrip",-2.554289,-77.443745,801,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Pampantza,0,SEZA,,,,,Pampants,50,2023-09-23T11:06:49+00:00
515367,SELK,small_airport,"Libertad Sur Airstrip",-2.802859,-77.569399,716,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Panientza,0,SELK,,,,,"Puerto Morona",50,2023-11-19T19:31:56+00:00
2177,SE22,small_airport,"Celia María Airport",-3.27905,-79.80118,112,SA,Ecuador,EC,"El Oro Province",EC-O,O,Pasaje,0,SEEL,,,,,SE22,50,2023-10-05T11:47:21+00:00
6070,SEPS,small_airport,"Amable Calle Gutierrez Airport",-3.31967,-79.769203,22,SA,Ecuador,EC,"El Oro Province",EC-O,O,Pasaje,0,SEPS,,,,,,50,2022-11-24T07:42:37+00:00
512417,SEBU,small_airport,"Bufeo Airstrip",-2.192174,-76.784617,1099,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,Pastaza,0,SEBU,,,,,,50,2023-09-24T14:32:49+00:00
517318,SEYD,small_airport,"Yandana – Entsa Airstrip",-2.047949,-76.359451,662,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,Pastaza,0,SEYD,,,,,,50,2023-12-18T20:12:20+00:00
6069,SEPC,small_airport,"Patuca Airport",-2.75172,-78.263603,1781,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Patuca,0,SEPC,,,,,,50,2023-12-01T19:57:18+00:00
323842,EC-0017,small_airport,"Patukmai Airstrip",-2.483436,-77.201006,905,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Patukmai,0,SEUX,,,,,Huasaga,50,2023-10-21T14:04:27+00:00
323806,EC-0006,small_airport,"Pavacachi Airstrip",-1.578569,-76.353395,,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,Pavacachi,0,SEVA,,,,,,50,2023-10-21T17:41:07+00:00
41106,SEPB,small_airport,"Pedro Carbo Airport",-1.8115930557250977,-80.23246002197266,321,SA,Ecuador,EC,"Guayas Province",EC-G,G,"Pecro Carbo",0,SEPB,,,,,,50,2008-08-08T17:17:56+00:00
41121,SEPD,small_airport,"Pedernales Airport",0.06761900335550308,-80.05049896240234,60,SA,Ecuador,EC,"Manabi Province",EC-M,M,Pedernales,0,SEPD,,,,,,50,2008-08-08T17:18:15+00:00
514839,SEKU,small_airport,"Kupit Airstrip",-2.644734,-77.223029,860,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Pedro,0,SEKU,,,,,,50,2023-11-12T23:43:20+00:00
517328,SEUE,small_airport,"Pumpuentza Airstrip",-2.474584,-77.333041,941,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Pedro,0,SEUE,,,,,Pumpuentsa,50,2023-12-18T22:33:18+00:00
517375,SEUD,small_airport,"Muruntza Airstrip",-2.585928,-77.218528,890,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Pedro,0,SEUD,,,,,Muruntsa,50,2023-12-19T13:43:34+00:00
518563,SEOU,small_airport,"Molaute Airstrip",-0.076808,-79.134895,1476,SA,Ecuador,EC,"Pichincha Province",EC-P,P,"Pedro Vicente Maldonado",0,SEOU,,,,,,50,2024-01-06T23:44:03+00:00
513505,SEIX,small_airport,"Pimpintza Airstrip",-2.275,-77.469444,1224,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Pimpintza,0,SEIX,,,,,Pimpimtza,50,2023-10-20T23:14:25+00:00
517412,SEPI,small_airport,"Pindoyacu Airstrip",-1.731878,-76.60763,686,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,Pindoyacu,0,SEPI,,,,,,50,2023-12-19T23:17:15+00:00
513857,SEIU,small_airport,"Pitiur Airstrip",-2.251998,-77.401788,1238,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Pitiur,0,SEIU,,,,,,50,2023-10-26T17:35:52+00:00
505093,EC-0048,small_airport,"Playas Airport",-2.6338,-80.40429,49,SA,Ecuador,EC,"Guayas Province",EC-G,G,Playas,0,SEPL,,,,,,50,2024-04-10T19:08:12+00:00
41107,SEPO,small_airport,"Posorja Airport",-2.681735,-80.276606,30,SA,Ecuador,EC,"Guayas Province",EC-G,G,Posorja,0,SEPO,,,,,,50,2022-11-24T07:58:50+00:00
505092,EC-0047,small_airport,"NIRSA Airport",-2.72034,-80.249194,16,SA,Ecuador,EC,"Guayas Province",EC-G,G,Posorja,0,SENX,,,,,"Negocios Industriales Real",50,2022-11-24T08:00:10+00:00
6052,SECM,small_airport,"Hacienda Clementina Airport",-1.7062699794769287,-79.37889862060547,328,SA,Ecuador,EC,"Los Rios Province",EC-R,R,Pozuelos,0,SECM,,,,,,50,2008-08-08T17:18:22+00:00
513769,SEHV,small_airport,"Josema Airport",-2.33171,-80.20473,80,SA,Ecuador,EC,"Guayas Province",EC-G,G,Progreso,0,SEHV,,,,,,50,2023-10-25T17:38:13+00:00
516185,SEOM,small_airport,"Langosmar Airport",-2.463834,-80.13694,30,SA,Ecuador,EC,"Guayas Province",EC-G,G,Progreso,0,SEOM,,,,,,50,2023-11-29T23:48:31+00:00
513548,SEUR,small_airport,"Pucar Airport",-2.78881,-77.648093,770,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Pucar,0,SEUR,,,,,,50,2023-10-21T13:20:12+00:00
514939,SESO,small_airport,"La Estrella Airport",-1.567288,-79.539826,47,SA,Ecuador,EC,"Los Rios Province",EC-R,R,Puebloviejo,0,SESO,,,,,,50,2023-11-14T15:25:39+00:00
6067,SEMX,small_airport,"Maragrosa Airport",-2.8511,-79.803596,18,SA,Ecuador,EC,"Guayas Province",EC-G,G,"Puerto Balao",0,SEMX,,,,,,50,2022-11-24T07:47:31+00:00
2172,SE03,small_airport,"Las Peñas Airport",-2.94716,-80.1007,3,SA,Ecuador,EC,"Guayas Province",EC-G,G,"Puerto Grande",0,SEEN,,,,,SE03,50,2023-10-05T12:29:32+00:00
41130,SEPT,small_airport,"Putumayo Airport",0.115949,-75.85022,733,SA,Ecuador,EC,"Sucumbios Province",EC-U,U,"Puerto Putumayo",0,SEPT,PYO,,,https://en.wikipedia.org/wiki/Putumayo_Airport,,50,2024-06-07T10:22:55+00:00
512679,SEDP,small_airport,"Pukuan Airstrip",-2.101027,-77.15742,1104,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,Pukuan,0,SEDP,,,,,,50,2023-09-29T19:10:13+00:00
41108,SEPU,closed,"Puná Airport",-2.73368,-79.915298,3,SA,Ecuador,EC,"Guayas Province",EC-G,G,Puná,0,,,,,,SEPU,50,2022-11-24T07:50:14+00:00
512714,SEUV,small_airport,"Putuimi Achuar Airstrip",-2.548547,-77.117863,925,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Putuimi,0,SEUV,,,,,Nases,50,2023-09-30T19:56:47+00:00
513542,SEUN,small_airport,"Putuntz Airstrip",-2.596584,-77.420483,849,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Putunts,0,SEUN,,,,,,50,2023-10-21T09:41:24+00:00
6072,SEQE,small_airport,"Quevedo Airport",-0.989013,-79.465571,350,SA,Ecuador,EC,"Los Rios Province",EC-R,R,Quevedo,0,SEQE,,,,,,50,2022-01-14T09:01:35+00:00
41125,SE15,small_airport,"Quevedo North Airport",-0.9998260140419006,-79.41535949707031,314,SA,Ecuador,EC,"Los Rios Province",EC-R,R,Quevedo,0,SE15,,SE15,,,,50,2008-08-08T17:18:21+00:00
351439,EC-0037,small_airport,"La Cadena Airport",-0.93109,-79.420359,246,SA,Ecuador,EC,"Los Rios Province",EC-R,R,Quevedo,0,SELC,,,,,Valencia,50,2023-11-19T18:13:35+00:00
351440,EC-0038,small_airport,"El Guayabo Airport",-0.98999,-79.43663,207,SA,Ecuador,EC,"Los Rios Province",EC-R,R,Quevedo,0,SEEG,,,,,,50,2023-09-21T13:32:42+00:00
351441,EC-0039,small_airport,"Agro Aereo Jaramillo Airport",-0.98762,-79.4445,210,SA,Ecuador,EC,"Los Rios Province",EC-R,R,Quevedo,0,SEJL,,,,,,50,2023-09-21T13:48:19+00:00
323808,EC-0007,small_airport,"Jaime Roldós Airstrip",-1.384429,-76.958553,849,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,Quilloalpa,0,SEJR,,,,,Shivacocha,50,2023-10-28T12:34:41+00:00
512242,EC-0057,small_airport,"Tapatla Airstrip",1.064419,-79.351037,18,SA,Ecuador,EC,"Esmeraldas Province",EC-E,E,Rocafuerte,0,,,,,,,50,2023-09-21T00:08:01+00:00
512415,SEBT,small_airport,"El Batán Airport",-2.094038,-79.880885,26,SA,Ecuador,EC,"Guayas Province",EC-G,G,Samborondón,0,SEBT,,,,,,50,2023-09-24T14:20:09+00:00
514256,SEAO,small_airport,"Agromarina Airstrip",-2.453185,-80.066835,5,SA,Ecuador,EC,"Guayas Province",EC-G,G,Samborondón,0,SEAO,,,,,,50,2023-11-03T04:39:53+00:00
505094,EC-0049,small_airport,"Saraguro Army Airfield",-2.53345,-80.40968,187,SA,Ecuador,EC,"Guayas Province",EC-G,G,"San Antonio de Playas",0,,,,,,,50,2022-11-24T08:05:12+00:00
515039,SESS,small_airport,"San Carlos Oriente Airstrip",-2.055229,-77.590771,1706,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,"San Carlos",0,SESS,,,,,,50,2023-11-16T00:28:45+00:00
512872,SEED,small_airport,"San Eduardo Airstrip",-0.365597,-77.302946,1001,SA,Ecuador,EC,"Orellana Province",EC-D,D,"San Eduardo",0,SEED,,,,,,50,2023-10-05T00:28:11+00:00
513380,SEFM,small_airport,"San Francisco de Macuma Airstrip",-2.060004,-77.608323,1689,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,"San Francisco de Macuma",0,SEFM,,,,,,50,2023-10-18T00:45:39+00:00
513959,SEJU,small_airport,"San Juan Airstrip",-2.105596,-77.519023,1635,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,"San Juan",0,SEJU,,,,,"Tres Marias",50,2023-10-28T14:17:58+00:00
514925,SESL,small_airport,"San Lorenzo Airport",1.264791,-78.797094,142,SA,Ecuador,EC,"Esmeraldas Province",EC-E,E,"San Lorenzo",0,SESL,,,,,,50,2023-11-14T12:52:30+00:00
512269,SEEP,small_airport,"El Piedrero Airport",-2.341612,-79.279642,220,SA,Ecuador,EC,"Cañar Province",EC-F,F,"San Pedro",0,SEEP,,,,,,50,2023-09-21T11:58:22+00:00
41128,SEAP,small_airport,"Arapicos Airport",-1.8576200008392334,-77.94139862060547,2920,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Sangay,0,SEAP,,,,,,50,2008-08-08T17:18:24+00:00
6057,SEGZ,small_airport,"Gualaquiza Airport",-3.42321,-78.567001,2640,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Santiago,0,SEGZ,,,,https://en.wikipedia.org/wiki/Gualaquiza_Airport,,50,2023-10-18T21:43:33+00:00
513815,SEIG,small_airport,"Santiago Airport",-3.049372,-78.010229,999,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Santiago,0,SEIG,,,,,,50,2023-10-26T12:17:50+00:00
41594,EC-MZD,small_airport,"Méndez Airport",-2.733330011367798,-78.31670379638672,1770,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,"Santiago de Méndez",0,,MZD,,,,,50,2008-08-27T07:58:13+00:00
6077,SESD,small_airport,"Santo Domingo de Los Colorados Airport",-0.248288,-79.209062,1640,SA,Ecuador,EC,"Santo Domingo de los Tsáchilas Province",EC-26,26,"Santo Domingo de Los Colorades",0,SESD,,,,,,50,2023-09-22T16:56:34+00:00
323812,EC-0011,small_airport,"Sarayaku Airstrip",-1.739358,-77.485087,,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,Sarayaku,0,,,,,,,50,2017-06-12T12:27:20+00:00
513812,SEIF,small_airport,"Sasain Airstrip",-2.261075,-77.33273,1150,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Sasain,0,SEIF,,,,,Taisha,50,2023-10-26T11:52:28+00:00
513036,SEEU,small_airport,"Setuch Airstrip",-2.794536,-77.281829,899,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Setuch,0,SEEU,,,,,Situchi,50,2023-10-08T13:53:22+00:00
324029,EC-0027,small_airport,"Shaimi Airstrip",-1.926173,-77.505011,1464,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,Shaimi,0,SEHX,,,,,Tutaguana,50,2023-10-25T19:14:04+00:00
324026,EC-0024,small_airport,"Sharamentza Airstrip",-2.463387,-76.992629,997,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,Sharamentza,0,SEAW,,,,,"Jibaría Añangu",50,2023-09-22T23:09:27+00:00
6078,SESM,small_airport,"Rio Amazonas Airport",-1.50524,-78.062698,3465,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,"Shell Mera",0,SESM,PTZ,,,https://en.wikipedia.org/wiki/Rio_Amazonas_Airport,,50,2023-11-14T13:00:56+00:00
513040,SEEZ,small_airport,"Shiramentza Airstrip",-2.750557,-77.556644,738,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Shiramentza,0,SEEZ,,,,,,50,2023-10-08T14:39:43+00:00
514911,SESF,small_airport,"Shushufindi Airport",-0.195626,-76.648237,844,SA,Ecuador,EC,"Sucumbios Province",EC-U,U,Shushufind,0,SESF,,,,,"San Francisco",50,2023-11-14T10:08:43+00:00
513771,SEHW,small_airport,"Shuwin Mamus Airstrip",-2.465768,-77.039586,899,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,"Shuwin Mamus",0,SEHW,,,,,"Shuin, Shuim",50,2023-10-25T18:59:23+00:00
32391,SESC,small_airport,"Sucúa Airport",-2.474201,-78.169041,3116,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Sucúa,0,SESC,SUQ,,,https://en.wikipedia.org/wiki/Suc%C3%BAa_Airport,,50,2023-11-13T23:22:06+00:00
512404,SEZR,small_airport,"Surik Nuevo Airstrip",-2.598404,-77.089405,1099,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Surikentza,0,SEZR,,,,,,50,2023-09-24T11:44:33+00:00
32477,SETH,small_airport,"Taisha Airport",-2.38167,-77.5028,1669,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Taisha,0,SETH,TSC,,,https://en.wikipedia.org/wiki/Taisha_Airport,,50,2024-05-16T20:26:55+00:00
513956,SEJT,small_airport,"San José de Taisha Airstrip",-2.389295,-77.509117,1457,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Taisha,0,SEJT,,,,,,50,2023-10-28T14:00:27+00:00
514029,SEKN,small_airport,"Kaniats Airstrip",-2.710571,-77.505235,760,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Taisha,0,SEKN,,,,,,50,2023-10-29T14:07:28+00:00
517373,SEUI,small_airport,"Kusuimi Airstrip",-2.72319,-77.681991,720,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Taisha,0,SEUI,,,,,,50,2023-12-19T13:02:33+00:00
512400,SEZM,small_airport,"Tamantza Airstrip",-2.159088,-77.613177,2202,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Tamantza,0,SEZM,,,,,,50,2023-09-24T11:10:59+00:00
505097,EC-0052,small_airport,"Tambillo Airport",-0.40349,-78.52983,8888,SA,Ecuador,EC,"Chimborazo Province",EC-H,H,Tambillo,0,,,,,,,50,2022-11-24T08:44:18+00:00
324038,EC-0032,small_airport,"Tambo Airstrip",-1.873892,-76.773644,,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,Tambo,0,,,,,,,50,2017-06-30T07:10:14+00:00
324037,EC-0031,small_airport,"Tambo Borja Airstrip",-2.36646,-76.513774,,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,"Tambo Borja",0,,,,,,,50,2017-06-23T06:55:35+00:00
513419,SEGN,small_airport,"Tanguntza Airstrip",-2.037239,-76.473366,684,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,Tanguntza,0,SEGN,,,,,,50,2023-10-18T17:46:45+00:00
323809,EC-0008,small_airport,"Taracoa Airstrip",-1.368989,-76.947394,,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,Taracoa,0,,,,,,,50,2017-06-12T12:20:57+00:00
513426,SEGT,small_airport,"Tarangaro Airstrip",-1.400583,-77.383055,1085,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,Tarangaro,0,SEGT,,,,,,50,2023-10-18T21:08:08+00:00
512712,SEWG,small_airport,"Tarimiant Airstrip",-2.547432,-77.088446,801,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Tarimiant,0,SEWG,,,,,Putuim,50,2023-09-30T19:38:26+00:00
512880,SEEK,small_airport,"Tekerika Suraka Airstrip",-1.954569,-76.554826,1001,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,"Tekerika Suraka",0,SEEK,,,,,,50,2023-10-05T03:06:09+00:00
6082,SETE,small_airport,"Mayor Galo Torres Airport",-0.986767,-77.819504,1708,SA,Ecuador,EC,"Napo Province",EC-N,N,Tena,0,SETE,,,,https://en.wikipedia.org/wiki/Mayor_Galo_de_la_Torre_Airport,,50,2024-05-18T22:47:02+00:00
41110,SETG,small_airport,"Tenguel Airport",-2.998017,-79.795922,33,SA,Ecuador,EC,"Guayas Province",EC-G,G,Tenguel,0,SETG,,,,,,50,2022-11-24T07:45:57+00:00
323813,EC-0012,small_airport,"Teresa Mama Airstrip",-1.923175,-77.211526,,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,"Teresa Mama",0,,,,,,,50,2017-06-12T12:39:19+00:00
32473,SETI,small_airport,"Tiputini Airport",-0.776111,-75.526398,997,SA,Ecuador,EC,"Orellana Province",EC-D,D,Tiputini,0,SETI,TPN,,,https://en.wikipedia.org/wiki/Tiputini_Airport,,50,2024-05-16T20:27:16+00:00
517394,SETW,small_airport,"Tiwaeno Airstrip",-1.321658,-77.455634,1210,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,Tiwaeno,0,SETW,,,,,,50,2023-12-19T16:28:08+00:00
512586,SEXT,small_airport,"Tres Marias Airport",-2.09426,-77.551003,1703,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,"Tres Marias",0,SEXT,,,,,Ayuy,50,2023-09-27T12:07:52+00:00
351443,EC-0041,small_airport,"Banastru Airport",-1.98576,-79.62703,20,SA,Ecuador,EC,"Guayas Province",EC-G,G,"Tres Postes",0,SEBS,,,,,,50,2023-09-24T13:57:14+00:00
514923,SESK,small_airport,"Tsunkintza Airstrip",-2.663498,-77.110696,880,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Tsunkintza,0,SESK,,,,,Chumbela,50,2023-11-14T11:51:02+00:00
512367,SEZE,small_airport,"Tzapapentza Airstrip",-2.831069,-77.369267,797,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,Tzapapentza,0,SEZE,,,,,,50,2023-09-23T13:21:02+00:00
512402,SEZN,small_airport,"Tzapino Airstrip",-1.188339,-77.230792,1079,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,Tzapino,0,SEZN,,,,,,50,2023-09-24T11:29:50+00:00
513547,SEUQ,small_airport,"Untsurientsa Airstrip",-2.452778,-77.917728,2100,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,"Untsuri Entsa",0,SEUQ,,,,,,50,2023-10-29T16:34:54+00:00
513550,SEUW,small_airport,"Unswantz Airstrip",-2.555542,-77.898885,1849,SA,Ecuador,EC,"Morona-Santiago Province",EC-S,S,"Uunt Suants",0,SEUW,,,,,,50,2023-10-21T13:43:05+00:00
513556,SEUY,small_airport,"Uyuimi Airstrip",-1.828889,-77.676389,1621,SA,Ecuador,EC,"Pastaza Province",EC-Y,Y,Uyuimi,0,SEUY,,,,,,50,2023-10-21T15:34:22+00:00
351442,EC-0040,small_airport,"Esterito Airport",-0.94007,-79.31379,420,SA,Ecuador,EC,"Los Rios Province",EC-R,R,Valencia,0,SEVL,,,,,"San Pablo",50,2023-09-21T15:05:48+00:00
512337,SEAZ,small_airport,"Costa Azul Airstrip",-0.873078,-79.327704,79,SA,Ecuador,EC,"Los Rios Province",EC-R,R,Valencia,0,SEAZ,,,,,,50,2023-09-22T23:44:23+00:00
